,year,month,highest,MHHW,MHW,MSL,MTL,MLW,MLLW,DTL,GT,MN,DHQ,DLQ,HWI,LWI,lowest,inferred
136,1913,11,0.639,,-0.123,-0.273,-0.282,-0.437,,,,0.314,,,11.680,6.020,-0.977,0
137,1913,12,0.242,,-0.197,-0.346,-0.349,-0.504,,,,0.308,,,11.820,6.120,-1.404,0
138,1914,1,0.730,,-0.120,-0.279,-0.288,-0.453,,,,0.332,,,11.630,5.920,-1.251,0
139,1914,2,0.334,,-0.297,-0.446,-0.459,-0.617,,,,0.320,,,11.640,5.930,-1.312,0
140,1914,3,0.303,,-0.254,-0.416,-0.422,-0.590,,,,0.335,,,11.790,5.840,-1.556,0
141,1914,4,0.242,,-0.078,-0.236,-0.245,-0.413,,,,0.335,,,11.660,5.890,-0.855,0
142,1914,5,0.303,,-0.069,-0.236,-0.245,-0.419,,,,0.351,,,11.690,5.980,-0.672,0
143,1914,6,0.334,,-0.053,-0.221,-0.227,-0.401,,,,0.347,,,11.730,5.900,-0.763,0
144,1914,7,0.364,,0.023,-0.154,-0.160,-0.340,,,,0.363,,,11.760,5.990,-0.642,0
145,1914,8,0.334,,0.011,-0.160,-0.163,-0.337,,,,0.347,,,11.840,6.030,-0.642,0
146,1914,9,0.303,,-0.026,-0.206,-0.194,-0.361,,,,0.335,,,11.720,5.850,-0.642,0
147,1914,10,0.334,,0.026,-0.136,-0.139,-0.303,,,,0.329,,,11.830,5.910,-0.855,0
148,1914,11,0.395,,-0.169,-0.322,-0.325,-0.483,,,,0.314,,,11.620,5.980,-0.946,0
149,1914,12,0.395,,-0.126,-0.279,-0.285,-0.443,,,,0.317,,,11.780,5.980,-1.007,0
150,1915,1,0.486,,-0.117,-0.279,-0.282,-0.443,,,,0.326,,,11.670,5.930,-1.251,0
151,1915,2,0.303,,-0.139,-0.291,-0.294,-0.450,,,,0.311,,,11.790,6.130,-0.977,0
152,1915,3,0.273,,-0.187,-0.340,-0.337,-0.486,,,,0.299,,,11.720,5.850,-0.946,0
153,1915,4,0.334,,-0.175,-0.334,-0.346,-0.517,,,,0.341,,,11.700,5.780,-1.129,0
154,1915,5,0.334,,-0.044,-0.203,-0.215,-0.389,,,,0.344,,,11.770,5.940,-0.703,0
155,1915,6,0.395,,0.029,-0.136,-0.142,-0.312,,,,0.341,,,11.690,6.040,-0.763,0
156,1915,7,0.303,,0.041,-0.120,-0.129,-0.297,,,,0.338,,,11.860,5.980,-0.581,0
157,1915,8,1.370,,0.099,-0.087,-0.084,-0.267,,,,0.366,,,11.930,6.080,-0.672,0
158,1915,9,0.578,,0.029,-0.139,-0.142,-0.312,,,,0.341,,,11.640,5.850,-0.855,0
159,1915,10,0.425,,0.011,-0.148,-0.148,-0.309,,,,0.320,,,11.720,5.950,-0.733,0
160,1915,11,0.517,,-0.087,-0.236,-0.245,-0.401,,,,0.314,,,11.750,5.970,-0.916,0
161,1915,12,0.425,,-0.236,-0.386,-0.392,-0.550,,,,0.314,,,11.860,5.880,-0.946,0
