GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,perc_area_flood,N_perc_area_flood
G24000504307001,343,155000,1508.026239,81.21282799,1.734693878,1.70845481,0.19838959,0.535362994,0.678855219,0.279926641,17145.8913,0.350234966,0.552965053
G24000504307002,939,186640,1331.211928,51.32694356,1.94142705,1.444089457,0.148896787,0.7182214,0.580131088,0.173981871,68642.84009,0.002780279,0.004389617
G24000504307003,664,153250,1119.200301,67.2123494,1.853915663,1.344879518,0.089551761,0.621025682,0.621921603,0.134223355,66198.92958,0,0
G24000504308001,498,145000,1372.062249,76.35943775,1.758032129,1.654618474,0.160331364,0.565058726,0.667710184,0.258351657,19264.30689,0.061673312,0.097372306
G24000504308002,545,162000,1170.077064,60.41284404,2,1.155963303,0.10379288,0.662628825,0.552159943,0.058514928,86045.30627,0,0
G24000504308003,416,147750,1297.84375,70.91346154,1.795673077,1.483173077,0.139556566,0.598380227,0.649734985,0.189644684,36746.95499,0.011829728,0.018677251
G24000504309001,538,130425,1522.858736,81.53345725,1.75929368,1.719330855,0.202541414,0.533401207,0.667107738,0.284285231,-7556.344968,0.001040277,0.001642432
G24000504309002,242,119950,1251.595041,65.57024793,1.94214876,1.772727273,0.126610904,0.631072969,0.57978644,0.305683917,-456.2834924,0,0
G24000504309003,253,136000,1152.588933,64.35968379,1.958498024,1.233201581,0.098897707,0.638479872,0.571978952,0.089468271,57289.96327,0,0
G24000504401001,502,137550,1465.752988,69.47211155,1.530876494,1.517928287,0.186556715,0.607199205,0.776186934,0.203572881,-6923.932141,0,0
G24000504401002,567,157000,1352.738977,66.96119929,1.513227513,1.499118166,0.154922509,0.622562358,0.784615094,0.1960347,19923.59183,0,0
G24000504401003,407,142500,1385.810811,74.73218673,1.638820639,1.538083538,0.164179779,0.575015149,0.724638884,0.211650125,14220.53647,0,0
